"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	1382.000	2247.000	2678.000	2289.000	2003.000	2218.000	2675.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	930.000	776.000	724.000	631.000	606.000	626.000	899.000	679.000	638.000	575.000	533.000	541.000	574.000	1066.000	198.000	187.000	192.000	182.000	536.000	2091.000	343.000	3189.000	3848.000	4169.000	3635.000	3686.000	5509.000	4983.000	850.000	822.000	757.000	1278.000	604.000	1262.000	1134.000	102.000	68.000	138.000	270.000	86.000	192.000	139.000	4700.000	3464.000	2968.000	2933.000	2811.000	3156.000	3963.000	611.000	339.000	394.000	452.000	292.000	1423.000	467.000	9452.000	8541.000	8426.000	7794.000	7479.000	10815.000	10686.000	354.000	340.000	305.000	257.000	279.000	302.000	432.000	616.000	0.000	210.000	0.000	-9999999999.990	-9999999999.990	0.000	1110.000	831.000	748.000	688.000	697.000	1390.000	1170.000	2080.000	1171.000	1263.000	945.000	976.000	1692.000	1602.000	1791.000	1799.000	1801.000	1904.000	1655.000	1663.000	2699.000	833.000	1000.000	527.000	699.000	678.000	722.000	1096.000	4704.000	3974.000	3595.000	3551.000	3312.000	5514.000	5400.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4748.000	4567.000	4831.000	4243.000	4167.000	5301.000	5286.000	9452.000	8541.000	8426.000	7794.000	7479.000	10815.000	10686.000	15.120	14.230	15.000	13.020	12.510	15.920	15.500
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	280.000	275.000	295.000	322.000	390.000	994.000	1140.000	3546.000	4485.000	4771.000	6037.000	5864.000	6309.000	8111.000	1750.000	1706.000	3504.000	1594.000	1425.000	1771.000	3120.000	1851.000	1522.000	2718.000	1094.000	863.000	1004.000	2024.000	779.000	649.000	969.000	1277.000	1443.000	1672.000	2500.000	8206.000	8637.000	9146.000	10324.000	9985.000	11750.000	14323.000	43732.000	43249.000	34156.000	31159.000	27510.000	23084.000	19259.000	204.000	189.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	6175.000	6228.000	6294.000	6264.000	6340.000	6331.000	8708.000	1678.000	2277.000	3189.000	3527.000	4580.000	2060.000	2299.000	59995.000	60580.000	52785.000	51274.000	48415.000	43225.000	42278.000	2062.000	1773.000	1688.000	1592.000	1563.000	1377.000	1368.000	2861.000	3294.000	2554.000	1855.000	2231.000	1677.000	1446.000	13388.000	13029.000	11116.000	10425.000	9811.000	10350.000	10992.000	18311.000	18096.000	15358.000	13872.000	13605.000	13404.000	13806.000	21454.000	21179.000	22511.000	22489.000	18523.000	16368.000	21281.000	20348.000	21474.000	15696.000	11128.000	10652.000	11432.000	9922.000	60113.000	60749.000	53565.000	47489.000	42780.000	41204.000	45009.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-118.000	-169.000	-780.000	3785.000	5635.000	2021.000	-2731.000	59995.000	60580.000	52785.000	51274.000	48415.000	43225.000	42278.000	-0.270	-0.360	-1.590	6.850	8.430	2.820	-16.750
"Advance Auto Parts, Inc."	"AAP"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	418.700	896.500	546.900	135.200	90.800	104.700	1112.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	689.500	625.000	606.400	641.300	597.800	579.800	277.600	4432.200	4362.500	4168.500	4325.900	4174.800	3937.000	2556.600	155.200	198.400	105.100	70.500	77.400	119.600	42.800	5695.500	6082.500	5426.900	5172.800	4940.700	4741.000	3989.400	3798.500	1369.000	1394.100	1446.300	4358.900	1432.000	1284.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1702.000	1540.800	1592.000	1631.800	1676.600	1743.600	249.700	52.400	48.400	69.300	64.100	75.800	46.400	41.700	11248.500	9040.600	8482.300	8315.000	8127.700	7962.400	5564.800	3422.000	3172.800	2894.600	3086.200	3203.900	3095.400	2180.600	-9999999999.990	-9999999999.990	-9999999999.990	0.300	0.600	0.600	0.900	1055.700	713.200	585.500	589.600	1146.100	684.900	583.300	4477.700	3885.900	3480.100	3676.000	3797.500	3654.400	2764.800	747.300	1045.700	1044.300	1042.900	1206.300	1636.300	1052.700	2474.400	558.200	542.700	679.800	663.300	887.900	231.100	7699.400	5489.800	5067.100	5398.800	5667.100	5959.400	4048.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3549.100	3550.800	3415.200	2916.200	2460.600	2002.900	1516.200	11248.500	9040.600	8482.300	8315.000	8127.700	7962.400	5564.800	50.080	48.160	46.250	39.640	33.620	27.460	20.790
"Apple Inc."	"AAPL"	"M - Nasdaq"	"57  - Technology"	"57106020 - Phones & Handheld Devices"	48844.000	25913.000	20289.000	20484.000	21120.000	13844.000	14259.000	51713.000	40388.000	53892.000	46671.000	20481.000	11233.000	26287.000	45804.000	48995.000	53547.000	29299.000	30343.000	27219.000	20641.000	4106.000	3956.000	9710.000	2132.000	2349.000	2111.000	1764.000	12352.000	12087.000	13936.000	8283.000	20631.000	14124.000	10335.000	162819.000	131339.000	128645.000	106869.000	89378.000	68531.000	73286.000	37378.000	41304.000	33783.000	27010.000	22471.000	20624.000	16597.000	105341.000	170799.000	194714.000	170430.000	164065.000	130162.000	106215.000	-9999999999.990	-9999999999.990	8015.000	8620.000	9009.000	8758.000	5756.000	32978.000	22283.000	18177.000	8757.000	5422.000	3764.000	5146.000	338516.000	365725.000	375319.000	321686.000	290345.000	231839.000	207000.000	46236.000	55888.000	44242.000	37294.000	35490.000	30196.000	22367.000	16240.000	20748.000	18473.000	11605.000	10999.000	6308.000	-9999999999.990	43242.000	39293.000	63843.000	30107.000	34121.000	26944.000	21291.000	105718.000	115929.000	100814.000	79006.000	80610.000	63448.000	43658.000	91807.000	93735.000	97207.000	75427.000	53329.000	28987.000	16960.000	50503.000	52137.000	43251.000	39004.000	37051.000	27857.000	22833.000	248028.000	258578.000	241272.000	193437.000	170990.000	120292.000	83451.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90488.000	107147.000	134047.000	128249.000	119355.000	111547.000	123549.000	338516.000	365725.000	375319.000	321686.000	290345.000	231839.000	207000.000	19.600	21.620	25.690	23.440	20.750	18.330	19.070
"AbbVie Inc"	"ABBV"	"N - New York"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	39924.000	7289.000	9303.000	5100.000	8399.000	8348.000	9595.000	0.000	772.000	486.000	1323.000	8.000	26.000	300.000	5428.000	5384.000	5088.000	4758.000	4730.000	8026.000	8657.000	1813.000	1605.000	1605.000	1444.000	1719.000	1124.000	1150.000	2354.000	1895.000	4741.000	3562.000	1458.000	2848.000	2000.000	49519.000	16945.000	21223.000	16187.000	16314.000	16081.000	17848.000	3306.000	2883.000	2803.000	2604.000	2565.000	9590.000	9207.000	93.000	1420.000	2090.000	1783.000	145.000	92.000	118.000	34253.000	36896.000	43344.000	44313.000	32877.000	7375.000	8167.000	1944.000	1208.000	1326.000	1212.000	1149.000	1480.000	767.000	89115.000	59352.000	70786.000	66099.000	53050.000	27513.000	29198.000	4580.000	5572.000	5102.000	4782.000	4531.000	9129.000	8241.000	3753.000	5308.000	6415.000	402.000	2431.000	4439.000	431.000	7252.000	6359.000	5124.000	4597.000	3932.000	2861.000	2225.000	15585.000	17239.000	16641.000	9781.000	10894.000	11393.000	6879.000	62975.000	35002.000	30953.000	36440.000	29240.000	10538.000	14292.000	18727.000	15557.000	18095.000	15242.000	8971.000	6870.000	7070.000	97287.000	67798.000	65689.000	61463.000	49105.000	25771.000	24706.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-8172.000	-8446.000	5097.000	4636.000	3945.000	1742.000	4492.000	89115.000	59352.000	70786.000	66099.000	53050.000	27513.000	29198.000	-5.520	-5.480	3.190	2.860	2.430	1.090	2.830
"AmerisourceBergen Corp."	"ABC"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	3374.200	2492.500	2435.100	2741.800	2167.400	1808.500	1231.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13534.400	11314.200	10303.300	9175.900	8223.000	6312.900	6051.900	11060.300	11918.500	11461.400	10723.900	9755.100	8593.900	6981.500	163.200	169.100	103.400	210.200	189.000	85.000	129.200	28132.100	25894.400	24303.300	22851.800	20334.500	16800.200	14393.700	1770.500	1892.400	1797.900	1530.700	1192.500	899.600	803.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9000.300	9612.100	8877.600	8959.300	6137.500	3481.700	3499.700	269.100	270.900	337.700	295.600	298.500	350.700	221.700	39172.000	37669.800	35316.500	33637.500	27963.000	21532.200	18918.600	28385.100	26836.900	25404.000	23926.300	20886.400	15592.800	13335.800	139.000	151.700	12.100	610.200	0.000	-9999999999.990	-9999999999.990	1057.200	881.200	1402.000	743.800	1826.800	1657.300	1534.800	29581.300	27869.700	26818.200	25280.400	21578.200	17250.200	14870.600	4354.400	4510.800	3781.600	3852.500	3739.200	1995.600	1396.600	2243.100	2239.400	2652.300	2375.200	2029.100	329.500	331.700	36293.100	34737.000	33252.000	31508.100	27346.600	19575.300	16598.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2878.900	2932.800	2064.500	2129.400	616.400	1956.900	2319.700	39172.000	37669.800	35316.500	33637.500	27963.000	21532.200	18918.600	13.700	13.460	9.450	10.030	2.830	8.610	10.040
"ABIOMED, Inc."	"ABMD"	"M - Nasdaq"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	192.300	121.000	43.000	39.000	48.200	22.400	20.900	250.800	370.700	319.300	190.900	163.800	109.600	55.700	84.700	90.800	70.000	54.100	42.800	31.800	24.400	90.100	80.900	50.200	34.900	26.700	16.800	13.900	18.000	13.700	11.800	8.000	6.800	39.600	3.100	635.900	677.200	494.300	327.000	288.400	185.000	118.000	176.700	145.000	117.200	87.800	23.200	9.100	6.900	302.200	102.500	50.100	47.100	1.000	14.000	41.800	51.000	47.800	52.500	45.500	48.400	46.200	38.000	50.700	81.800	72.300	43.000	63.000	84.000	0.800	1216.500	1054.300	786.400	550.400	423.900	338.400	205.400	32.800	32.200	23.600	20.600	9.400	10.400	7.700	-9999999999.990	-9999999999.990	0.000	0.800	-9999999999.990	-9999999999.990	-9999999999.990	99.100	73.800	61.100	48.200	37.200	28.900	22.700	131.900	106.000	84.700	69.600	46.500	39.300	30.400	0.000	0.000	0.000	15.500	0.000	0.000	0.000	19.100	11.500	12.200	13.200	8.600	7.500	6.600	151.000	117.500	96.900	98.300	55.200	46.800	37.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1065.500	936.900	689.500	452.100	368.800	291.600	168.400	1216.500	1054.300	786.400	550.400	423.900	338.400	205.400	23.580	20.860	15.620	10.460	8.740	7.180	4.280
"Abbott Laboratories"	"ABT"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	3860.000	3844.000	9407.000	18620.000	5001.000	4063.000	3475.000	280.000	242.000	203.000	155.000	1124.000	397.000	4623.000	5425.000	5182.000	5249.000	3248.000	3418.000	3586.000	3986.000	4316.000	3796.000	3601.000	2434.000	2599.000	2643.000	2693.000	1786.000	1568.000	1687.000	2319.000	2013.000	8252.000	4470.000	15667.000	14632.000	20147.000	26776.000	14155.000	13556.000	19247.000	8972.000	7563.000	7607.000	5705.000	5730.000	18567.000	5905.000	883.000	897.000	883.000	2947.000	4041.000	229.000	119.000	40220.000	42196.000	45493.000	12222.000	15200.000	16265.000	15507.000	2145.000	1885.000	2120.000	5016.000	2121.000	5222.000	2175.000	67887.000	67173.000	76250.000	52666.000	41247.000	41207.000	42953.000	3252.000	2975.000	2402.000	1178.000	1081.000	1064.000	1026.000	1478.000	207.000	714.000	871.000	2691.000	3992.000	2668.000	6133.000	5830.000	5796.000	4611.000	5414.000	5411.000	5813.000	10863.000	9012.000	8912.000	6660.000	9186.000	10467.000	9507.000	16115.000	19359.000	27210.000	20681.000	5871.000	3393.000	3388.000	9608.000	8080.000	9030.000	4549.000	4864.000	11188.000	4784.000	36799.000	36649.000	45353.000	32128.000	20036.000	19681.000	17782.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31088.000	30524.000	30897.000	20538.000	21211.000	21526.000	25171.000	67887.000	67173.000	76250.000	52666.000	41247.000	41207.000	42953.000	17.580	17.360	17.760	13.910	14.180	14.200	16.160
"Accenture Plc"	"ACN"	"N - New York"	"57  - Technology"	"57201010 - IT Services & Consulting"	6126.700	5015.700	4081.300	4860.100	8675.600	4921.300	5631.900	3.300	3.200	3.000	2.900	2.400	2.600	2.500	8095.100	7496.400	6885.300	6222.400	5725.400	5663.300	4846.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1225.500	1070.300	1127.700	890.800	1536.700	1317.200	1931.500	15450.600	13585.600	12097.300	11976.200	10700.100	11904.400	11844.200	1391.200	1264.000	1140.600	956.500	801.900	793.400	779.700	311.300	238.600	252.500	266.800	60.500	94.800	62.100	7046.300	6070.100	5712.700	4119.600	3394.700	2793.800	2144.500	5590.500	3290.800	3486.700	3289.900	3745.400	2344.000	2825.800	29789.900	24449.100	22689.900	20609.000	18202.600	17930.500	16867.000	1646.600	1348.800	1525.100	1280.800	1151.500	1064.200	961.900	6.400	5.300	2.900	2.800	1.800	0.300	0.000	9408.800	8797.600	8296.300	7595.300	7378.900	7093.500	8108.000	11061.900	10151.800	9824.300	8878.900	8491.000	8158.100	8161.000	16.200	19.700	22.200	24.500	25.600	26.400	25.600	3884.000	3553.100	3133.200	3516.200	3038.500	3460.600	3716.000	15380.900	14084.300	13740.400	13053.700	12068.900	12198.400	11906.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14409.000	10364.800	8949.500	7555.300	6133.700	5732.000	4960.200	29789.900	24449.100	22689.900	20609.000	18202.600	17930.500	16867.000	22.580	16.490	14.430	12.090	9.790	9.040	7.680
"Adobe Inc"	"ADBE"	"M - Nasdaq"	"57  - Technology"	"57201020 - Software"	2650.200	1642.800	2306.100	2022.600	876.600	1117.400	834.600	1526.800	1586.200	3513.700	3750.000	3111.500	2622.100	2339.200	1598.700	1315.600	1218.000	833.000	672.000	591.800	599.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	719.200	312.500	210.100	245.400	161.800	271.000	272.400	6494.900	4857.000	7247.800	5839.800	4821.900	4602.300	4045.900	1293.000	1075.100	937.000	1632.500	787.400	785.100	659.800	-9999999999.990	-9999999999.990	0.000	80.400	80.400	80.400	207.200	12411.800	12650.000	6207.200	5820.900	5876.900	5191.600	5377.200	562.700	186.500	143.500	139.900	159.800	126.300	90.100	20762.400	18768.700	14535.600	12697.200	11726.500	10785.800	10380.300	209.500	186.300	113.500	88.000	93.300	68.400	62.100	3149.100	-9999999999.990	-9999999999.990	-9999999999.990	0.000	603.200	14.700	4832.300	4114.900	3413.900	2723.600	2120.200	1822.800	1448.900	8190.900	4301.100	3527.500	2811.600	2213.600	2494.400	1525.600	988.900	4115.100	1881.400	1892.200	1907.200	911.100	1499.300	1052.400	990.400	666.800	883.600	604.100	604.400	630.700	10232.200	9406.600	6075.700	5272.400	4724.900	4009.900	3655.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10530.200	9362.100	8459.900	7424.800	7001.600	6775.900	6724.600	20762.400	18768.700	14535.600	12697.200	11726.500	10785.800	10380.300	21.650	19.080	17.140	14.900	14.040	13.610	13.410
