"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	1324.000	1226.000	1382.000	1765.000	2155.000	2057.000	2247.000	2131.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	886.000	966.000	930.000	856.000	819.000	833.000	776.000	733.000	750.000	706.000	679.000	660.000	657.000	653.000	638.000	623.000	211.000	204.000	198.000	176.000	181.000	169.000	187.000	180.000	3171.000	3102.000	3189.000	3457.000	3812.000	3712.000	3848.000	3667.000	1024.000	1035.000	850.000	839.000	827.000	829.000	822.000	801.000	141.000	118.000	102.000	99.000	96.000	77.000	68.000	70.000	4503.000	4648.000	4700.000	3618.000	3650.000	3699.000	3464.000	3448.000	616.000	598.000	611.000	612.000	637.000	635.000	339.000	363.000	9455.000	9501.000	9452.000	8625.000	9022.000	8952.000	8541.000	8349.000	333.000	329.000	354.000	316.000	314.000	315.000	340.000	273.000	700.000	675.000	616.000	504.000	-9999999999.990	-9999999999.990	0.000	0.000	912.000	888.000	1110.000	802.000	804.000	780.000	831.000	741.000	1945.000	1892.000	2080.000	1622.000	1118.000	1095.000	1171.000	1014.000	1788.000	1787.000	1791.000	1294.000	1798.000	1798.000	1799.000	1799.000	954.000	974.000	833.000	962.000	981.000	1023.000	1000.000	968.000	4687.000	4653.000	4704.000	3878.000	3897.000	3916.000	3974.000	3785.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4768.000	4848.000	4748.000	4747.000	5125.000	5036.000	4567.000	4564.000	9455.000	9501.000	9452.000	8625.000	9022.000	8952.000	8541.000	8349.000	15.430	15.640	15.420	15.210	16.170	15.840	14.360	14.260
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	474.000	280.000	312.000	319.000	337.000	275.000	303.000	293.000	3102.000	3546.000	4856.000	5088.000	4012.000	4485.000	4552.000	4381.000	1020.000	1750.000	1850.000	1943.000	1876.000	1706.000	2170.000	1941.000	1772.000	1851.000	1800.000	1708.000	1666.000	1522.000	1576.000	1522.000	807.000	779.000	754.000	792.000	763.000	649.000	897.000	1039.000	7175.000	8206.000	9572.000	9850.000	8654.000	8637.000	9498.000	9176.000	42825.000	43732.000	43461.000	43804.000	43534.000	43249.000	34223.000	34424.000	122.000	204.000	183.000	214.000	265.000	189.000	211.000	-9999999999.990	6150.000	6175.000	6186.000	6196.000	6206.000	6228.000	6238.000	6248.000	2308.000	1678.000	1773.000	1903.000	2128.000	2277.000	2465.000	2774.000	58580.000	59995.000	61175.000	61967.000	60787.000	60580.000	52635.000	52622.000	1648.000	2062.000	1932.000	2118.000	2139.000	1773.000	1886.000	2053.000	3518.000	2861.000	3608.000	3500.000	3370.000	3294.000	2493.000	2213.000	14047.000	13388.000	14020.000	14505.000	14340.000	13029.000	11969.000	12403.000	19213.000	18311.000	19560.000	20123.000	19849.000	18096.000	16348.000	16669.000	21564.000	21454.000	21625.000	21791.000	20660.000	21179.000	22274.000	21863.000	20439.000	20348.000	19830.000	20075.000	20914.000	21474.000	14581.000	14959.000	61216.000	60113.000	61015.000	61989.000	61423.000	60749.000	53203.000	53491.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2636.000	-118.000	160.000	-22.000	-636.000	-169.000	-568.000	-869.000	58580.000	59995.000	61175.000	61967.000	60787.000	60580.000	52635.000	52622.000	-6.190	-0.270	0.360	-0.050	-1.410	-0.370	-1.230	-1.870
"Advance Auto Parts, Inc."	"AAP"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	1279.800	418.700	573.700	747.700	537.300	896.500	970.000	902.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	627.400	689.500	721.300	713.100	684.400	625.000	698.600	664.100	4526.000	4432.200	4391.100	4374.900	4434.000	4362.500	4187.100	4159.800	138.700	155.200	140.500	126.800	126.100	198.400	168.600	151.700	6572.000	5695.500	5826.600	5962.500	5781.800	6082.500	6024.300	5877.800	3764.000	3798.500	3724.800	3741.400	3734.500	1369.000	1335.800	1338.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1687.100	1702.000	1505.900	1514.400	1518.900	1540.800	1555.500	1563.900	49.400	52.400	49.400	49.700	46.200	48.400	56.800	54.900	12072.600	11248.500	11106.800	11267.900	11081.500	9040.600	8972.400	8835.600	3304.200	3422.000	3402.500	3318.000	3277.000	3172.800	3023.700	2910.000	500.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	1026.800	1055.700	1061.400	1054.400	1021.900	713.200	697.600	688.200	4831.000	4477.700	4463.900	4372.400	4298.900	3886.000	3721.200	3598.200	1241.100	747.300	747.100	747.000	746.800	1045.700	1045.400	1045.100	2463.400	2474.400	2440.800	2477.300	2488.600	558.200	546.100	534.300	8535.500	7699.400	7651.900	7596.600	7534.300	5489.800	5312.700	5177.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3537.000	3549.100	3454.900	3671.300	3547.200	3550.800	3659.600	3657.900	12072.600	11248.500	11106.800	11267.900	11081.500	9040.600	8972.400	8835.600	51.130	51.120	49.090	51.180	49.410	48.650	49.530	49.400
"Apple Inc."	"AAPL"	"M - Nasdaq"	"57  - Technology"	"57106020 - Phones & Handheld Devices"	40174.000	39771.000	48844.000	50530.000	37988.000	44771.000	25913.000	31971.000	53877.000	67391.000	51713.000	44084.000	42104.000	41656.000	40388.000	38999.000	30677.000	39946.000	45804.000	26474.000	26278.000	36981.000	48995.000	26367.000	3334.000	4097.000	4106.000	3355.000	4884.000	4988.000	3956.000	5936.000	15691.000	12026.000	12352.000	10530.000	12092.000	12432.000	12087.000	12488.000	143753.000	163231.000	162819.000	134973.000	123346.000	140828.000	131339.000	115761.000	43986.000	44293.000	37378.000	37636.000	38746.000	39597.000	41304.000	38117.000	98793.000	99899.000	105341.000	115996.000	145319.000	158608.000	170799.000	172773.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33868.000	33195.000	32978.000	33634.000	34587.000	34686.000	22283.000	22546.000	320400.000	340618.000	338516.000	322239.000	341998.000	373719.000	365725.000	349197.000	32421.000	45111.000	46236.000	29115.000	30443.000	44293.000	55888.000	38489.000	20440.000	15228.000	16240.000	23482.000	22429.000	21741.000	20748.000	17472.000	43233.000	41822.000	43242.000	37107.000	40900.000	42249.000	39293.000	32587.000	96094.000	102161.000	105718.000	89704.000	93772.000	108283.000	115929.000	88548.000	89715.000	93705.000	91807.000	84936.000	90201.000	92989.000	93735.000	97128.000	56166.000	55221.000	50503.000	51143.000	52165.000	54555.000	52137.000	48572.000	241975.000	251087.000	248028.000	225783.000	236138.000	255827.000	258578.000	234248.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	78425.000	89531.000	90488.000	96456.000	105860.000	117892.000	107147.000	114949.000	320400.000	340618.000	338516.000	322239.000	341998.000	373719.000	365725.000	349197.000	17.990	20.280	20.150	21.100	22.650	24.890	22.310	23.540
"AbbVie Inc"	"ABBV"	"N - New York"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	41142.000	39924.000	10648.000	5172.000	4897.000	7289.000	8015.000	3547.000	-9999999999.990	0.000	0.000	244.000	331.000	772.000	770.000	196.000	6362.000	5428.000	5529.000	5482.000	5680.000	5384.000	5780.000	5793.000	1844.000	1813.000	1929.000	1895.000	1702.000	1605.000	1786.000	1580.000	2410.000	2354.000	2060.000	2307.000	1803.000	1895.000	2114.000	2729.000	51758.000	49519.000	20166.000	15100.000	14413.000	16945.000	18465.000	13845.000	2961.000	3306.000	3251.000	3259.000	3265.000	2883.000	2950.000	2787.000	78.000	93.000	131.000	1473.000	1477.000	1420.000	1463.000	1505.000	33764.000	34253.000	34573.000	36101.000	36452.000	36896.000	42343.000	42595.000	2638.000	1944.000	1320.000	1209.000	1162.000	1208.000	943.000	909.000	91199.000	89115.000	59441.000	57142.000	56769.000	59352.000	66164.000	61641.000	12696.000	11665.000	12038.000	11150.000	11669.000	11905.000	11343.000	10647.000	3762.000	3753.000	5276.000	5641.000	2078.000	5308.000	4021.000	6530.000	13.000	167.000	179.000	150.000	157.000	26.000	23.000	47.000	16471.000	15585.000	17493.000	16941.000	13904.000	17239.000	15387.000	17224.000	63284.000	62975.000	33126.000	31619.000	35066.000	35002.000	36487.000	30579.000	18859.000	18727.000	17048.000	17148.000	15625.000	15557.000	17211.000	17213.000	98614.000	97287.000	67667.000	65708.000	64595.000	67798.000	69085.000	65016.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-7415.000	-8172.000	-8226.000	-8566.000	-7826.000	-8446.000	-2921.000	-3375.000	91199.000	89115.000	59441.000	57142.000	56769.000	59352.000	66164.000	61641.000	-5.010	-5.510	-5.550	-5.790	-5.290	-5.700	-1.930	-2.150
"AmerisourceBergen Corp."	"ABC"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	3691.900	3232.600	3374.200	2999.600	2875.800	2540.200	2492.500	2388.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16210.800	13846.500	13534.400	12990.700	13200.100	12953.200	11314.200	11764.600	11102.600	11686.500	11060.300	11247.800	11373.700	11800.200	11918.500	12074.300	175.400	189.200	163.200	163.800	172.600	182.600	169.100	176.500	31180.700	28954.800	28132.100	27401.800	27622.200	27476.200	25894.400	26404.400	1906.700	1442.400	1770.500	1767.400	1858.900	1896.900	1892.400	1903.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8639.600	8846.200	9000.300	9037.000	9055.700	9622.200	9612.100	9713.600	315.300	773.400	269.100	272.400	273.600	272.400	270.900	288.200	42042.300	40016.700	39172.000	38478.500	38810.300	39267.800	37669.800	38309.600	30720.000	29181.900	28385.100	27807.400	28189.400	28336.300	26836.900	26449.500	522.800	532.500	139.000	166.100	283.000	156.300	151.700	195.600	869.000	916.100	1057.200	815.300	739.500	859.200	881.200	1454.500	32111.800	30630.500	29581.300	28788.900	29211.900	29351.700	27869.700	28099.700	3622.400	3636.100	4354.400	4339.900	4359.900	4516.600	4510.800	4569.800	2603.000	2681.100	2243.100	2242.500	2200.200	2234.800	2239.400	2364.200	38451.700	37062.100	36293.100	35489.100	35889.100	36219.400	34737.000	35211.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3590.600	2954.600	2878.900	2989.400	2921.200	3048.500	2932.800	3097.800	42042.300	40016.700	39172.000	38478.500	38810.300	39267.800	37669.800	38309.600	17.480	14.340	13.570	14.260	13.850	14.380	13.620	14.170
"ABIOMED, Inc."	"ABMD"	"M - Nasdaq"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	192.300	118.000	150.300	101.000	121.000	84.200	76.400	61.300	250.800	309.600	295.000	385.600	370.700	374.000	334.100	299.200	84.700	101.000	94.300	86.200	90.800	88.200	74.200	67.500	90.100	91.200	90.300	87.700	80.900	71.800	63.700	55.800	18.000	16.900	17.500	16.800	13.700	10.500	13.300	13.500	635.900	636.600	647.400	677.400	677.200	628.700	561.600	497.300	176.700	173.500	170.200	164.900	145.000	138.500	134.100	127.300	302.200	285.000	187.900	162.500	102.500	40.800	22.300	20.700	51.000	51.900	50.100	52.000	47.800	51.200	51.200	49.800	50.700	49.600	68.800	68.300	81.800	98.000	118.000	116.900	1216.500	1196.600	1124.300	1125.100	1054.300	957.100	887.200	812.000	32.800	31.600	31.700	29.700	32.200	26.200	21.900	25.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.100	94.700	80.500	70.500	73.800	66.800	60.100	51.000	131.900	126.300	112.200	100.200	106.000	93.000	82.000	76.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.100	23.500	20.700	22.300	11.500	12.600	12.200	12.000	151.000	149.700	132.900	122.500	117.500	105.600	94.200	88.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1065.500	1046.900	991.500	1002.600	936.900	851.500	793.000	723.400	1216.500	1196.600	1124.300	1125.100	1054.300	957.100	887.200	812.000	23.660	23.190	21.880	22.170	20.780	18.900	17.640	16.240
"Abbott Laboratories"	"ABT"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	3377.000	3860.000	4091.000	3137.000	3022.000	3844.000	7369.000	3065.000	291.000	280.000	244.000	239.000	239.000	242.000	181.000	199.000	5292.000	5425.000	5450.000	5548.000	5345.000	5182.000	5271.000	5192.000	4568.000	4316.000	4392.000	4352.000	4085.000	3796.000	3781.000	3714.000	1970.000	1786.000	1942.000	1919.000	1718.000	1568.000	1594.000	1952.000	15498.000	15667.000	16119.000	15195.000	14409.000	14632.000	18196.000	14122.000	7907.000	8972.000	8706.000	8675.000	8459.000	7563.000	7448.000	7432.000	790.000	883.000	874.000	851.000	867.000	897.000	971.000	940.000	39192.000	40220.000	40511.000	41420.000	41681.000	42196.000	42893.000	43795.000	3390.000	2145.000	2329.000	2286.000	2194.000	1885.000	2129.000	2126.000	66777.000	67887.000	68539.000	68427.000	67610.000	67173.000	71637.000	68415.000	3181.000	3252.000	3029.000	3222.000	3045.000	2975.000	2730.000	2503.000	1468.000	1478.000	1458.000	212.000	209.000	207.000	4274.000	847.000	6159.000	6133.000	6004.000	5628.000	5859.000	5830.000	5772.000	5601.000	10808.000	10863.000	10491.000	9062.000	9113.000	9012.000	12776.000	8951.000	16804.000	16661.000	17639.000	18982.000	18845.000	19359.000	19284.000	19823.000	8738.000	9062.000	8390.000	8489.000	8523.000	8080.000	8679.000	8867.000	36559.000	36799.000	36722.000	36741.000	36685.000	36649.000	40932.000	37838.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30218.000	31088.000	31817.000	31686.000	30925.000	30524.000	30705.000	30577.000	66777.000	67887.000	68539.000	68427.000	67610.000	67173.000	71637.000	68415.000	17.080	17.580	17.960	17.910	17.540	17.330	17.450	17.390
"Accenture Plc"	"ACN"	"N - New York"	"57  - Technology"	"57201010 - IT Services & Consulting"	5436.500	5810.500	6126.900	4769.200	4464.900	4363.800	5061.400	3928.800	3.600	3.300	3.300	3.300	3.100	3.100	3.200	3.300	8517.900	8577.400	8095.100	8134.100	8151.400	8023.100	7496.400	7446.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1447.200	1214.900	1225.400	1235.000	1213.900	1150.400	1024.600	958.100	15405.300	15606.100	15450.600	14141.700	13833.300	13540.400	13585.600	12336.900	4607.100	4540.900	1391.200	1341.500	1282.800	1243.300	1264.000	1228.900	340.800	336.800	311.300	255.000	249.800	258.300	238.600	251.000	7606.800	7129.300	7046.300	6922.700	6514.700	6219.600	6070.100	5963.500	5543.500	5557.500	5590.500	5495.500	5509.600	5444.800	3290.800	3470.400	33503.400	33170.700	29789.900	28156.400	27390.200	26706.400	24449.100	23250.800	1526.100	1581.100	1646.600	1563.000	1472.100	1355.500	1348.800	1389.000	6.700	3.700	6.400	4.100	4.400	4.700	5.300	2.800	9644.700	9614.600	9408.800	8984.900	8742.600	8816.100	8797.600	8161.800	11177.600	11199.400	11061.900	10552.000	10219.000	10176.300	10151.800	9553.600	13.200	15.900	16.200	19.900	19.800	19.900	19.700	26.000	6391.900	6354.200	3884.000	3441.600	3422.900	3454.600	3553.100	3518.500	18028.800	18003.600	15380.900	14419.000	14053.200	14027.600	14084.300	13453.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15474.600	15167.100	14409.000	13737.300	13337.000	12678.900	10364.800	9797.300	33503.400	33170.700	29789.900	28156.400	27390.200	26706.400	24449.100	23250.800	24.270	23.860	22.620	21.540	20.880	19.850	16.180	15.330
"Adobe Inc"	"ADBE"	"M - Nasdaq"	"57  - Technology"	"57201020 - Software"	2688.000	2650.200	2209.000	2082.900	1738.800	1642.800	1747.100	2988.000	1483.000	1526.800	1441.700	1396.100	1487.400	1586.200	3197.300	3346.100	1465.000	1598.700	1447.900	1314.200	1390.000	1315.600	1044.500	1074.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	819.000	719.200	651.400	549.500	517.400	312.500	311.900	332.500	6455.000	6494.900	5750.100	5342.600	5133.700	4857.000	6300.900	7741.400	1844.000	1293.000	1244.000	1205.000	1104.100	1075.100	1019.300	993.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12317.000	12411.800	12503.700	12615.000	12724.800	12650.000	7806.300	6144.300	598.000	562.700	557.100	503.200	542.900	186.500	269.100	284.200	21214.000	20762.400	20054.900	19665.900	19505.500	18768.700	15395.600	15163.400	265.000	209.500	187.000	169.100	145.300	186.300	145.600	117.200	0.000	3149.300	3148.600	3145.700	892.800	-9999999999.990	-9999999999.990	-9999999999.990	4963.000	4832.100	4467.400	4372.300	4275.700	4114.900	3646.500	3611.800	5228.000	8190.900	7803.000	7687.100	5313.700	4301.100	3792.000	3729.000	4113.000	988.900	988.400	987.900	3236.800	4124.800	1874.700	1874.100	1408.000	1052.400	1020.700	1059.200	1083.500	980.600	867.000	854.800	10749.000	10232.200	9812.100	9734.200	9634.100	9406.600	6533.700	6457.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10465.000	10530.200	10242.800	9931.700	9871.500	9362.100	8861.900	8705.600	21214.000	20762.400	20054.900	19665.900	19505.500	18768.700	15395.600	15163.400	21.710	21.770	21.080	20.370	20.230	19.170	18.080	17.700
