"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	1238.000	1357.000	1367.000	1274.000	1238.000	1284.000	1294.000	1203.000	583.000	634.000	628.000	581.000	569.000	572.000	576.000	545.000	655.000	723.000	739.000	693.000	669.000	712.000	718.000	658.000	197.000	104.000	102.000	101.000	99.000	102.000	104.000	97.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	4.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-15.000	0.000	1136.000	1142.000	1117.000	1049.000	1022.000	1034.000	1035.000	982.000	102.000	215.000	250.000	225.000	216.000	250.000	259.000	221.000	20.000	20.000	21.000	18.000	17.000	18.000	18.000	18.000	-39.000	-24.000	-2.000	-15.000	-19.000	-16.000	-3.000	-39.000	121.000	219.000	231.000	222.000	218.000	248.000	244.000	242.000	20.000	22.000	37.000	31.000	36.000	-256.000	30.000	6.000	101.000	197.000	194.000	191.000	182.000	504.000	214.000	236.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	101.000	197.000	194.000	191.000	182.000	504.000	214.000	236.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-19.000	-9999999999.990	101.000	197.000	194.000	191.000	182.000	504.000	195.000	236.000	0.327	0.635	0.630	0.612	0.574	1.585	0.613	0.738	0.327	0.635	0.630	0.612	0.574	1.585	0.673	0.738	0.324	0.629	0.622	0.604	0.567	1.565	0.606	0.728	0.324	0.629	0.622	0.604	0.567	1.565	0.665	0.728	0.180	0.164	0.164	0.164	0.164	0.149	0.149	0.149
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	8515.000	11313.000	11911.000	11960.000	10584.000	10938.000	11559.000	11643.000	3843.000	4356.000	4586.000	4549.000	4147.000	4341.000	4695.000	4493.000	4672.000	6957.000	7325.000	7411.000	6437.000	6597.000	6864.000	7150.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	643.000	603.000	583.000	572.000	559.000	550.000	544.000	539.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1225.000	148.000	234.000	121.000	138.000	177.000	209.000	182.000	11064.000	10584.000	11103.000	10807.000	10209.000	10367.000	10874.000	10639.000	-2549.000	729.000	808.000	1153.000	375.000	571.000	685.000	1004.000	257.000	265.000	284.000	275.000	271.000	268.000	527.000	529.000	84.000	-107.000	-33.000	-4.000	-141.000	-92.000	-338.000	-281.000	-2890.000	571.000	557.000	882.000	245.000	395.000	496.000	756.000	-649.000	157.000	132.000	220.000	60.000	71.000	124.000	200.000	-2241.000	414.000	425.000	662.000	185.000	324.000	372.000	556.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2241.000	414.000	425.000	662.000	185.000	324.000	372.000	556.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-2241.000	414.000	425.000	662.000	185.000	324.000	372.000	556.000	-5.264	0.953	0.962	1.488	0.409	0.703	0.808	1.199	-5.264	0.953	0.962	1.488	0.409	0.703	0.808	1.199	-5.264	0.950	0.961	1.486	0.408	0.703	0.806	1.197	-5.264	0.950	0.961	1.486	0.408	0.703	0.806	1.197	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100
"Advance Auto Parts, Inc."	"AAP"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	2697.900	2112.600	2312.100	2332.200	2952.000	2105.100	2275.000	2326.700	1523.900	1183.800	1297.200	1322.800	1647.100	1175.500	1267.600	1309.800	1174.000	928.800	1014.900	1009.400	1304.900	929.600	1007.400	1016.900	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.500	17.400	26.400	19.300	14.200	14.700	21.200	12.400	2619.500	1986.500	2139.800	2161.500	2744.100	2020.800	2120.700	2159.100	78.400	126.100	172.300	170.700	207.900	84.300	154.300	167.600	12.200	7.800	8.400	8.700	14.900	13.000	13.100	12.900	6.000	-1.800	3.100	-4.200	2.200	1.400	-5.700	-2.700	60.200	120.000	160.700	166.200	190.800	69.900	146.900	157.500	16.600	24.100	37.100	41.400	48.300	-45.900	51.700	61.600	43.600	95.900	123.700	124.800	142.500	115.800	95.200	95.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	43.600	95.900	123.700	124.800	142.500	115.800	95.200	95.800	-9999999999.990	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-62.300	20.600	22.000	43.600	95.900	123.700	124.800	142.500	53.400	115.800	117.800	0.630	1.381	1.757	1.740	1.985	0.732	1.568	1.591	0.630	1.381	1.757	1.740	1.985	1.586	1.289	1.294	0.628	1.375	1.750	1.733	1.976	0.729	1.561	1.587	0.628	1.375	1.750	1.733	1.976	1.579	1.284	1.291	0.310	0.060	0.060	0.060	0.060	0.060	0.060	0.060
"Apple Inc."	"AAPL"	"M - Nasdaq"	"57  - Technology"	"57106020 - Phones & Handheld Devices"	58313.000	91819.000	64040.000	53809.000	58015.000	84310.000	62900.000	53265.000	35943.000	56602.000	39727.000	33582.000	36194.000	52279.000	38816.000	32844.000	22370.000	35217.000	24313.000	20227.000	21821.000	32031.000	24084.000	20421.000	4565.000	4451.000	4110.000	4257.000	3948.000	3902.000	3750.000	3701.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	45460.000	66250.000	48415.000	42265.000	44600.000	60964.000	46782.000	40653.000	12853.000	25569.000	15625.000	11544.000	13415.000	23346.000	16118.000	12612.000	757.000	785.000	810.000	866.000	1010.000	890.000	868.000	846.000	-1039.000	-1134.000	-1312.000	-1233.000	-1388.000	-1450.000	-1171.000	-1518.000	13135.000	25918.000	16127.000	11911.000	13793.000	23906.000	16421.000	13284.000	1886.000	3682.000	2441.000	1867.000	2232.000	3941.000	3396.000	1765.000	11249.000	22236.000	13686.000	10044.000	11561.000	19965.000	13025.000	11519.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11249.000	22236.000	13686.000	10044.000	11561.000	19965.000	13025.000	11519.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	1100.000	0.000	11249.000	22236.000	13686.000	10044.000	11561.000	19965.000	14125.000	11519.000	2.580	5.036	3.048	2.198	2.473	4.216	2.942	2.359	2.580	5.036	3.048	2.198	2.473	4.216	2.713	2.359	2.554	4.992	3.028	2.183	2.459	4.183	2.914	2.338	2.554	4.992	3.028	2.183	2.459	4.183	2.687	2.338	0.770	0.770	0.770	0.770	0.730	0.730	0.730	0.730
"AbbVie Inc"	"ABBV"	"N - New York"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	8619.000	8704.000	8479.000	8255.000	7828.000	8305.000	8236.000	8278.000	1942.000	2054.000	1962.000	1856.000	1734.000	2005.000	1781.000	1888.000	6677.000	6650.000	6517.000	6399.000	6094.000	6300.000	6455.000	6390.000	1379.000	1542.000	1285.000	1291.000	1289.000	1395.000	1268.000	1322.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.000	-741.000	1000.000	91.000	155.000	5400.000	55.000	0.000	5016.000	4748.000	5862.000	4855.000	4818.000	10746.000	5077.000	5516.000	3603.000	3956.000	2617.000	3400.000	3010.000	-2441.000	3159.000	2762.000	563.000	559.000	480.000	358.000	387.000	380.000	339.000	320.000	-58.000	323.000	136.000	2235.000	79.000	-448.000	59.000	430.000	3098.000	3074.000	2001.000	807.000	2544.000	-2373.000	2761.000	2012.000	88.000	273.000	117.000	66.000	88.000	-633.000	14.000	29.000	3010.000	2801.000	1884.000	741.000	2456.000	-1740.000	2747.000	1983.000	-14.000	-13.000	-10.000	-8.000	-12.000	4.000	-12.000	-10.000	2996.000	2788.000	1874.000	733.000	2444.000	-1736.000	2735.000	1973.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-86.000	-9999999999.990	-9999999999.990	2996.000	2788.000	1874.000	733.000	2444.000	-1822.000	2735.000	1973.000	2.023	1.879	1.265	0.495	1.651	-1.230	1.810	1.258	2.023	1.879	1.265	0.495	1.651	-1.172	1.810	1.258	2.019	1.875	1.264	0.494	1.648	-1.230	1.805	1.255	2.019	1.875	1.264	0.494	1.648	-1.172	1.805	1.255	1.180	1.070	1.070	1.070	1.070	0.960	0.960	0.960
"AmerisourceBergen Corp."	"ABC"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	47417.600	47864.700	45637.800	45239.300	43319.600	45392.500	43297.100	43142.300	45977.500	46546.200	44456.200	44011.500	41946.800	44182.200	42264.500	41895.400	1440.100	1318.500	1181.600	1227.800	1372.800	1210.300	1032.600	1246.900	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	93.800	104.500	108.500	107.600	123.800	122.500	120.600	120.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	343.400	264.600	171.300	56.500	573.400	-46.600	100.200	111.200	47108.100	47601.300	45458.000	44832.600	43272.000	44914.600	43143.000	42753.100	309.500	263.400	179.800	406.700	47.600	477.900	154.100	389.200	42.000	41.600	47.600	48.700	49.900	49.200	49.400	52.800	-8.700	-7.800	-12.500	-13.100	-21.100	-3.900	-7.200	-8.900	276.200	229.600	144.700	371.100	18.800	432.600	111.900	345.200	-694.900	43.000	12.300	69.100	-9.300	77.800	-57.100	67.300	971.100	186.600	132.300	302.000	28.100	354.800	169.000	277.900	-10.800	1.100	0.300	0.000	-0.900	1.900	39.300	-2.100	960.300	187.600	132.600	302.000	27.100	356.700	208.300	275.800	-9999999999.990	-9999999999.990	0.000	0.000	0.000	37.000	25.000	-9999999999.990	960.300	187.600	132.600	302.000	27.100	393.700	233.300	275.800	4.676	0.911	0.625	1.440	0.129	1.856	1.083	1.262	4.676	0.911	0.625	1.440	0.129	1.682	0.967	1.262	4.638	0.904	0.620	1.430	0.128	1.840	1.073	1.249	4.638	0.904	0.620	1.430	0.128	1.667	0.958	1.249	0.420	0.400	0.400	0.400	0.400	0.400	0.760	0.380
"ABIOMED, Inc."	"ABMD"	"M - Nasdaq"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	206.700	221.600	205.000	207.700	207.100	200.600	181.800	180.000	39.400	40.000	34.900	37.100	34.800	34.000	29.800	30.900	167.300	181.600	170.100	170.600	172.300	166.600	152.000	149.200	25.300	25.700	24.000	23.800	25.500	24.000	22.700	21.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.700	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	153.300	151.300	144.800	146.900	141.700	138.200	131.500	133.300	53.400	70.300	60.200	60.800	65.400	62.400	50.300	46.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.100	-26.700	42.900	-42.400	-33.100	-2.100	-1.500	-1.700	39.300	97.000	17.400	103.100	98.500	64.500	51.800	48.500	7.500	27.800	4.300	14.200	24.600	19.600	1.700	-41.600	31.800	69.200	13.100	88.900	74.000	44.900	50.100	90.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.800	69.200	13.100	88.900	74.000	44.900	50.100	90.100	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	31.800	69.200	13.100	88.900	74.000	44.900	50.100	90.100	0.706	1.533	0.288	1.967	1.640	0.996	1.115	2.022	0.706	1.533	0.288	1.967	1.640	0.996	1.115	2.022	0.699	1.515	0.285	1.929	1.602	0.972	1.086	1.951	0.699	1.515	0.285	1.929	1.602	0.972	1.086	1.951	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"Abbott Laboratories"	"ABT"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	7726.000	8314.000	8076.000	7979.000	7535.000	7765.000	7656.000	7767.000	3277.000	3417.000	3356.000	3279.000	3144.000	3188.000	3165.000	3281.000	4449.000	4897.000	4720.000	4700.000	4391.000	4577.000	4491.000	4486.000	576.000	567.000	594.000	577.000	670.000	561.000	573.000	573.000	561.000	483.000	484.000	483.000	486.000	488.000	544.000	562.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	135.000	28.000	1.000	35.000	103.000	84.000	10.000	6968.000	6988.000	6878.000	6773.000	6796.000	6686.000	6728.000	6885.000	758.000	1326.000	1198.000	1206.000	739.000	1079.000	928.000	882.000	139.000	164.000	167.000	168.000	171.000	186.000	203.000	210.000	-14.000	-78.000	-72.000	-64.000	-64.000	-54.000	7.000	-105.000	633.000	1240.000	1103.000	1102.000	632.000	947.000	718.000	777.000	89.000	199.000	143.000	96.000	38.000	215.000	129.000	58.000	544.000	1041.000	960.000	1006.000	594.000	732.000	589.000	719.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	544.000	1041.000	960.000	1006.000	594.000	732.000	589.000	719.000	20.000	8.000	0.000	0.000	78.000	-78.000	-26.000	14.000	564.000	1049.000	960.000	1006.000	672.000	654.000	563.000	733.000	0.319	0.593	0.542	0.569	0.381	0.371	0.320	0.417	0.308	0.589	0.542	0.569	0.337	0.416	0.335	0.409	0.317	0.589	0.538	0.565	0.378	0.369	0.318	0.414	0.306	0.584	0.538	0.565	0.334	0.413	0.332	0.406	0.360	0.320	0.320	0.320	0.320	0.280	0.280	0.280
"Accenture Plc"	"ACN"	"N - New York"	"57  - Technology"	"57201010 - IT Services & Consulting"	11141.500	11359.000	11055.700	11099.700	10454.100	10605.500	10504.000	10695.000	7782.300	7711.200	7621.000	7571.400	7399.800	7308.100	14685.400	14882.700	3359.200	3647.800	3434.700	3528.300	3054.300	3297.400	-4181.400	-4187.700	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9999999999.990	-9999999999.990	0.000	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	9652.600	9591.700	9484.200	9381.700	9067.500	8976.500	9034.300	9060.100	1488.900	1767.300	1571.500	1718.000	1386.600	1629.000	1469.700	1634.900	8.600	5.500	7.500	5.300	5.600	4.500	5.200	5.800	-29.200	-38.800	3.300	8.300	4.700	14.000	7.900	16.500	1509.600	1800.600	1560.800	1704.300	1376.300	1610.500	1456.600	1612.600	257.500	425.500	415.200	435.700	235.500	319.200	408.200	513.500	1252.100	1375.200	1145.500	1268.600	1140.700	1291.300	1048.400	1099.100	-17.300	-18.200	-15.100	-19.100	-16.300	-16.600	-18.800	-15.100	1234.700	1357.000	1130.400	1249.500	1124.400	1274.700	1029.500	1083.900	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	-40.900	1234.700	1357.000	1130.400	1249.500	1124.400	1274.700	1029.500	1043.000	1.937	2.135	1.774	1.959	1.761	1.995	1.607	1.632	1.937	2.135	1.774	1.959	1.761	1.995	1.607	1.696	1.939	2.092	1.740	1.927	1.735	1.958	1.577	1.604	1.939	2.092	1.740	1.927	1.735	1.958	1.577	1.667	0.800	0.800	1.460	0.000	1.460	0.000	1.330	0.000
"Adobe Inc"	"ADBE"	"M - Nasdaq"	"57  - Technology"	"57201020 - Software"	3091.000	2991.900	2834.100	2744.300	2600.900	2464.600	2291.100	2195.400	452.000	452.000	416.000	407.500	397.300	359.300	295.500	281.300	2639.000	2539.900	2418.100	2336.800	2203.600	2105.300	1995.600	1914.100	532.000	499.800	489.800	476.000	464.600	416.000	399.000	374.100	42.000	42.700	43.000	43.000	46.600	32.900	23.900	17.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2154.000	2022.000	1980.300	1994.700	1906.100	1744.100	1572.500	1496.900	937.000	969.900	853.800	749.600	694.800	720.500	718.600	698.500	33.000	36.500	39.500	40.600	40.600	27.900	21.100	20.400	-15.000	-23.800	-20.200	-1.800	-48.100	-6.600	-3.800	-12.600	919.000	957.100	834.500	710.800	702.300	699.200	701.400	690.800	-36.000	102.300	41.700	78.200	28.100	15.000	11.100	-0.400	955.000	854.800	792.800	632.600	674.200	684.200	690.300	691.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	955.000	854.800	792.800	632.600	674.200	684.200	690.300	691.200	-9999999999.990	-3.000	-9999999999.990	-9999999999.990	-9999999999.990	-6.000	-24.000	-28.000	955.000	851.900	792.800	632.600	674.200	678.200	666.300	663.200	1.981	1.761	1.632	1.298	1.381	1.389	1.360	1.348	1.981	1.767	1.632	1.298	1.381	1.401	1.409	1.405	1.957	1.743	1.614	1.285	1.364	1.368	1.341	1.331	1.957	1.749	1.614	1.285	1.364	1.381	1.389	1.387	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
